ensembl_id,symbol
ENSG00000211666,IGLV2-14
ENSG00000113924,HGD
ENSG00000181143,MUC16
ENSG00000187957,DNER
ENSG00000184221,OLIG1
ENSG00000164825,DEFB1
ENSG00000147588,PMP2
ENSG00000196136,SERPINA3
ENSG00000124253,PCK1
ENSG00000144035,NAT8
ENSG00000178934,LGALS7B
ENSG00000136155,SCEL
ENSG00000196091,MYBPC1
ENSG00000064787,BCAS1
ENSG00000013588,GPRC5A
ENSG00000083307,GRHL2
ENSG00000148053,NTRK2
ENSG00000125851,PCSK2
ENSG00000105664,COMP
ENSG00000244116,IGKV2-28
ENSG00000095932,SMIM24
ENSG00000066813,ACSM2B
ENSG00000130287,NCAN
ENSG00000183747,ACSM2A
ENSG00000132465,JCHAIN
ENSG00000170373,CST1
ENSG00000263639,MSMB
ENSG00000148702,HABP2
ENSG00000163209,SPRR3
ENSG00000134873,CLDN10
ENSG00000167757,KLK11
ENSG00000145824,CXCL14
ENSG00000247627,MTND4P12
ENSG00000241794,SPRR2A
ENSG00000158874,APOA2
ENSG00000248144,ADH1C
ENSG00000244437,IGKV3-15
ENSG00000114638,UPK1B
ENSG00000086570,FAT2
ENSG00000168484,SFTPC
ENSG00000171885,AQP4
ENSG00000162078,ZG16B
ENSG00000185559,DLK1
ENSG00000170421,KRT8
ENSG00000169903,TM4SF4
ENSG00000094755,GABRP
ENSG00000079112,CDH17
ENSG00000144339,TMEFF2
ENSG00000134193,REG4
ENSG00000205927,OLIG2
ENSG00000165828,PRAP1
ENSG00000125999,BPIFB1
ENSG00000211653,IGLV1-40
ENSG00000166589,CDH16
ENSG00000167755,KLK6
ENSG00000135744,AGT
ENSG00000170786,SDR16C5
ENSG00000143546,S100A8
ENSG00000161798,AQP5
ENSG00000019102,VSIG2
ENSG00000165443,PHYHIPL
ENSG00000105048,TNNT1
ENSG00000060718,COL11A1
ENSG00000132746,ALDH3B2
ENSG00000105523,SACK1E
ENSG00000141579,ZNF750
ENSG00000139540,SLC39A5
ENSG00000084674,APOB
ENSG00000166415,WDR72
ENSG00000151632,AKR1C2
ENSG00000137440,FGFBP1
ENSG00000169862,CTNND2
ENSG00000262406,MMP12
ENSG00000111319,SCNN1A
ENSG00000087250,MT3
ENSG00000211662,IGLV3-21
ENSG00000007062,PROM1
ENSG00000235142,LINC02532
ENSG00000124429,POF1B
ENSG00000198643,FAM3D
ENSG00000169594,BNC1
ENSG00000253755,IGHGP
ENSG00000169035,KLK7
ENSG00000129654,FOXJ1
ENSG00000170477,KRT4
ENSG00000180745,CLRN3
ENSG00000147676,MAL2
ENSG00000159166,LAD1
ENSG00000211660,IGLV2-23
ENSG00000153086,ACMSD
ENSG00000169174,PCSK9
ENSG00000151655,ITIH2
ENSG00000116299,ELAPOR1
ENSG00000211673,IGLV3-1
ENSG00000254709,IGLL5
ENSG00000150625,GPM6A
ENSG00000167165,UGT1A6
ENSG00000170099,SERPINA6
ENSG00000010438,PRSS3
ENSG00000117472,TSPAN1
ENSG00000130226,DPP6
ENSG00000198914,POU3F3
ENSG00000187048,CYP4A11
ENSG00000118271,TTR
ENSG00000074211,PPP2R2C
ENSG00000166840,GLYATL1
ENSG00000102109,PCSK1N
ENSG00000174827,PDZK1
ENSG00000080493,SLC4A4
ENSG00000198758,EPS8L3
ENSG00000114455,HHLA2
ENSG00000171431,KRT20
ENSG00000197444,OGDHL
ENSG00000211663,IGLV3-19
ENSG00000148798,INA
ENSG00000159184,HOXB13
ENSG00000129354,AP1M2
ENSG00000143320,CRABP2
ENSG00000163501,IHH
ENSG00000211955,IGHV3-33
ENSG00000211659,IGLV3-25
ENSG00000211947,IGHV3-21
ENSG00000170370,EMX2
ENSG00000047457,CP
ENSG00000256612,CYP2B7P
ENSG00000184956,MUC6
ENSG00000171124,FUT3
ENSG00000172061,LRRC15
ENSG00000134339,SAA2
ENSG00000211651,IGLV1-44
ENSG00000166535,A2ML1
ENSG00000049283,EPN3
ENSG00000132437,DDC
ENSG00000170561,IRX2
ENSG00000163331,DAPL1
ENSG00000138271,GPR87
ENSG00000166923,GREM1
ENSG00000180818,HOXC10
ENSG00000211959,IGHV4-39
ENSG00000280411,IGHV1-69D
ENSG00000149948,HMGA2
ENSG00000229415,SFTA3
ENSG00000180210,F2
ENSG00000140297,GCNT3
ENSG00000057149,SERPINB3
ENSG00000109072,VTN
ENSG00000129988,LBP
ENSG00000145113,MUC4
ENSG00000211945,IGHV1-18
ENSG00000115386,REG1A
ENSG00000122585,NPY
ENSG00000211644,IGLV1-51
ENSG00000178372,CALML5
ENSG00000183036,PCP4
ENSG00000145192,AHSG
ENSG00000171759,PAH
ENSG00000171517,LPAR3
ENSG00000137077,CCL21
ENSG00000172005,MAL
ENSG00000179913,B3GNT3
ENSG00000155066,PROM2
ENSG00000183347,GBP6
ENSG00000170091,NSG2
ENSG00000211648,IGLV1-47
ENSG00000189280,GJB5
ENSG00000156222,SLC28A1
ENSG00000221932,HEPN1
ENSG00000131400,NAPSA
ENSG00000125285,SOX21
ENSG00000156413,FUT6
ENSG00000116147,TNR
ENSG00000211966,IGHV5-51
ENSG00000062038,CDH3
ENSG00000198848,CES1
ENSG00000184486,POU3F2
ENSG00000135100,HNF1A
ENSG00000100095,SEZ6L
ENSG00000136352,NKX2-1
ENSG00000167749,KLK4
ENSG00000230076,RPL10P6
ENSG00000163216,SPRR2D
ENSG00000177108,ZDHHC22
ENSG00000134398,ERN2
ENSG00000228278,ORM2
ENSG00000112936,C7
ENSG00000203697,CAPN8
ENSG00000145920,CPLX2
ENSG00000104760,FGL1
ENSG00000148826,NKX6-2
ENSG00000163220,S100A9
ENSG00000224373,IGHV4-59
ENSG00000160886,LY6K
ENSG00000103449,SALL1
ENSG00000166126,AMN
ENSG00000139352,ASCL1
ENSG00000204128,C2orf72
ENSG00000211668,IGLV2-11
ENSG00000129151,BBOX1
ENSG00000125618,PAX8
ENSG00000140254,DUOXA1
ENSG00000018625,ATP1A2
ENSG00000143627,PKLR
ENSG00000184905,TCEAL2
ENSG00000156959,LHFPL4
ENSG00000145721,LIX1
ENSG00000153002,CPB1
ENSG00000133110,POSTN
ENSG00000128564,VGF
ENSG00000153802,TMPRSS11D
ENSG00000099937,SERPIND1
ENSG00000101144,BMP7
ENSG00000113905,HRG
ENSG00000110484,SCGB2A2
ENSG00000060566,CREB3L3
ENSG00000183844,FAM3B
ENSG00000170323,FABP4
ENSG00000157551,KCNJ15
ENSG00000048540,LMO3
ENSG00000168481,LGI3
ENSG00000137745,MMP13
ENSG00000142973,CYP4B1
ENSG00000119125,GDA
ENSG00000274173,LINC02967
ENSG00000075891,PAX2
ENSG00000136881,BAAT
ENSG00000144908,ALDH1L1
ENSG00000153446,C16orf89
ENSG00000166670,MMP10
ENSG00000244067,GSTA2
ENSG00000140274,DUOXA2
ENSG00000125998,SACK1C
ENSG00000164106,SCRG1
ENSG00000154227,CERS3
ENSG00000120251,GRIA2
ENSG00000111057,KRT18
ENSG00000080618,CPB2
ENSG00000136928,GABBR2
ENSG00000088726,TMEM40
ENSG00000132693,CRP
ENSG00000100427,MLC1
ENSG00000105251,SHD
ENSG00000100170,SLC5A1
ENSG00000019505,SYT13
ENSG00000211898,IGHD
ENSG00000124466,LYPD3
ENSG00000010379,SLC6A13
ENSG00000104332,SFRP1
ENSG00000241755,IGKV1-9
ENSG00000090932,DLL3
ENSG00000152578,GRIA4
ENSG00000188505,NCCRP1
ENSG00000163735,CXCL5
ENSG00000161055,SCGB3A1
ENSG00000108602,ALDH3A1
ENSG00000123843,C4BPB
ENSG00000186529,CYP4F3
ENSG00000198732,SMOC1
ENSG00000188112,C6orf132
ENSG00000005513,SOX8
ENSG00000120215,MLANA
ENSG00000078549,ADCYAP1R1
ENSG00000172482,AGXT
ENSG00000156234,CXCL13
ENSG00000158104,HPD
ENSG00000172020,GAP43
ENSG00000012504,NR1H4
ENSG00000152092,ASTN1
ENSG00000214049,LOC124900418
ENSG00000170608,FOXA3
ENSG00000104140,RHOV
ENSG00000185818,NAT8L
ENSG00000160307,S100B
ENSG00000135447,PPP1R1A
ENSG00000197632,SERPINB2
ENSG00000109956,B3GAT1
ENSG00000167768,KRT1
ENSG00000112499,SLC22A2
ENSG00000167754,KLK5
ENSG00000074410,CA12
ENSG00000188064,WNT7B
ENSG00000127249,ATP13A4
ENSG00000163739,CXCL1
ENSG00000196542,SPTSSB
ENSG00000196260,SFTA2
ENSG00000167880,EVPL
ENSG00000066032,CTNNA2
ENSG00000211943,IGHV3-15
ENSG00000136574,GATA4
ENSG00000233705,SLC26A4-AS1
ENSG00000101198,NKAIN4
ENSG00000176532,PRR15
ENSG00000167654,ATCAY
ENSG00000272398,CD24
ENSG00000130600,H19
ENSG00000149124,GLYAT
ENSG00000211934,IGHV1-2
ENSG00000166426,CRABP1
ENSG00000100557,CCDC198
ENSG00000153292,ADGRF1
ENSG00000087510,TFAP2C
ENSG00000138696,BMPR1B
ENSG00000173930,SLCO4C1
ENSG00000163017,ACTG2
ENSG00000198650,TAT
ENSG00000278196,IGLV2-8
ENSG00000173404,INSM1
ENSG00000272620,AFAP1-AS1
ENSG00000151715,TMEM45B
ENSG00000091583,APOH
ENSG00000077274,CAPN6
ENSG00000146678,IGFBP1
ENSG00000111249,CUX2
ENSG00000185499,MUC1
ENSG00000275385,CCL18
ENSG00000015592,STMN4
ENSG00000159409,CELF3
ENSG00000101938,CHRDL1
ENSG00000169474,SPRR1A
ENSG00000240382,IGKV1-17
ENSG00000043039,BARX2
ENSG00000067048,DDX3Y
ENSG00000157087,ATP2B2
ENSG00000107485,GATA3
ENSG00000156510,HKDC1
ENSG00000163898,LIPH
ENSG00000143196,DPT
ENSG00000128242,GAL3ST1
ENSG00000198729,PPP1R14C
ENSG00000141750,STAC2
ENSG00000149968,MMP3
ENSG00000151365,THRSP
ENSG00000197641,SERPINB13
ENSG00000100867,DHRS2
ENSG00000177494,ZBED2
ENSG00000132855,ANGPTL3
ENSG00000165478,HEPACAM
ENSG00000165474,GJB2
ENSG00000243566,UPK3B
ENSG00000167741,GGT6
ENSG00000127241,MASP1
ENSG00000245526,MIR9-2HG
ENSG00000118322,ATP10B
ENSG00000111783,RFX4
ENSG00000163873,GRIK3
ENSG00000198788,MUC2
ENSG00000115009,CCL20
ENSG00000095713,CRTAC1
ENSG00000198797,BRINP2
ENSG00000187134,AKR1C1
ENSG00000224259,LINC01133
ENSG00000189058,APOD
ENSG00000075043,KCNQ2
ENSG00000115705,TPO
ENSG00000163032,VSNL1
ENSG00000256812,CAPNS2
ENSG00000070526,ST6GALNAC1
ENSG00000182272,B4GALNT4
ENSG00000125798,FOXA2
ENSG00000019186,CYP24A1
ENSG00000175315,CST6
ENSG00000014257,ACP3
ENSG00000144481,TRPM8
ENSG00000164530,PI16
ENSG00000162069,BICDL2
ENSG00000211452,DIO1
ENSG00000133135,RNF128
ENSG00000135374,ELF5
ENSG00000142619,PADI3
ENSG00000204544,MUC21
ENSG00000159763,PIP
ENSG00000144407,PTH2R
ENSG00000174469,CNTNAP2
ENSG00000077498,TYR
ENSG00000129455,KLK8
ENSG00000133636,NTS
ENSG00000124564,SLC17A3
ENSG00000092054,MYH7
ENSG00000132164,SLC6A11
ENSG00000188338,SLC38A3
ENSG00000170689,HOXB9
ENSG00000107295,SH3GL2
ENSG00000261857,MIA
ENSG00000131910,NR0B2
ENSG00000223802,CERS1
ENSG00000259803,SLC22A31
ENSG00000211941,IGHV3-11
ENSG00000151892,GFRA1
ENSG00000018236,CNTN1
ENSG00000171243,SOSTDC1
ENSG00000005001,PRSS22
ENSG00000249948,GBA3
ENSG00000168631,MUCL3
ENSG00000175311,ANKS4B
ENSG00000134827,TCN1
ENSG00000101311,FERMT1
ENSG00000168824,NSG1
ENSG00000188373,GPR15LG
ENSG00000140093,SERPINA10
ENSG00000150556,LYPD6B
ENSG00000115648,MLPH
ENSG00000104722,NEFM
ENSG00000149294,NCAM1
ENSG00000133477,SACK1F
ENSG00000197614,MFAP5
ENSG00000167767,KRT80
ENSG00000134548,SPX
ENSG00000114200,BCHE
ENSG00000196361,ELAVL3
ENSG00000169550,MUC15
ENSG00000157851,DPYSL5
ENSG00000134760,DSG1
ENSG00000109321,AREG
ENSG00000160868,CYP3A4
ENSG00000198203,SULT1C2
ENSG00000100146,SOX10
ENSG00000147647,DPYS
ENSG00000137203,TFAP2A
ENSG00000143365,RORC
ENSG00000178772,CPN2
ENSG00000184697,CLDN6
ENSG00000197249,SERPINA1
ENSG00000170476,MZB1
ENSG00000211640,IGLV6-57
ENSG00000275896,PRSS2
ENSG00000174607,UGT8
ENSG00000022556,NLRP2
ENSG00000124882,EREG
ENSG00000168539,CHRM1
ENSG00000176769,TCERG1L
ENSG00000122756,CNTFR
ENSG00000141639,MAPK4
ENSG00000166828,SCNN1G
ENSG00000188508,KRTDAP
ENSG00000096696,DSP
ENSG00000161031,PGLYRP2
ENSG00000136883,KIF12
ENSG00000104327,CALB1
ENSG00000280623,LOC124900476
ENSG00000138650,PCDH10
ENSG00000115361,ACADL
ENSG00000171951,SCG2
ENSG00000103460,TOX3
ENSG00000181577,LINC03040
ENSG00000119147,ECRG4
ENSG00000240864,IGKV1-16
ENSG00000181617,FDCSP
ENSG00000109846,CRYAB
ENSG00000268104,SLC6A14
ENSG00000167614,TTYH1
ENSG00000125931,CITED1
ENSG00000168955,TM4SF20
ENSG00000168065,SLC22A11
ENSG00000106809,OGN
ENSG00000087128,TMPRSS11E
ENSG00000117601,SERPINC1
ENSG00000101098,RIMS4
ENSG00000133063,CHIT1
ENSG00000244575,IGKV1-27
ENSG00000174460,ZCCHC12
ENSG00000139292,LGR5
ENSG00000175928,LRRN1
ENSG00000105696,TMEM59L
ENSG00000086696,HSD17B2
ENSG00000225937,PCA3
ENSG00000155511,GRIA1
ENSG00000118785,SPP1
ENSG00000229847,EMX2OS
ENSG00000147256,ARHGAP36
ENSG00000007038,PRSS21
ENSG00000196620,UGT2B15
ENSG00000063015,SEZ6
ENSG00000189325,BNIP5
ENSG00000078399,HOXA9
ENSG00000263961,RHEX
ENSG00000016602,CLCA4
ENSG00000186868,MAPT
ENSG00000055957,ITIH1
ENSG00000152779,SLC16A12
ENSG00000159212,CLIC6
ENSG00000139329,LUM
ENSG00000096006,CRISP3
ENSG00000142273,CBLC
ENSG00000125780,TGM3
ENSG00000162706,CADM3
ENSG00000211669,IGLV3-10
ENSG00000141738,GRB7
ENSG00000204616,TRIM31
ENSG00000155980,KIF5A
ENSG00000165409,TSHR
ENSG00000184564,SLITRK6
ENSG00000162728,KCNJ9
ENSG00000124935,SCGB1D2
ENSG00000154764,WNT7A
ENSG00000108242,CYP2C18
ENSG00000165566,AMER2
ENSG00000144834,TAGLN3
ENSG00000188467,SLC24A5
ENSG00000159251,ACTC1
ENSG00000007306,CEACAM7
ENSG00000138615,CILP
ENSG00000152931,PART1
ENSG00000172927,MYEOV
ENSG00000134020,PEBP4
ENSG00000165272,AQP3
ENSG00000100652,SLC10A1
ENSG00000227640,SOX21-AS1
ENSG00000261678,SCRT1
ENSG00000253293,HOXA10
ENSG00000141485,SLC13A5
ENSG00000167332,OR51E2
ENSG00000131094,C1QL1
ENSG00000104435,STMN2
ENSG00000242265,PEG10
ENSG00000211937,IGHV2-5
ENSG00000046604,DSG2
ENSG00000078295,ADCY2
ENSG00000103067,ESRP2
ENSG00000009765,IYD
ENSG00000147255,IGSF1
ENSG00000132840,BHMT2
ENSG00000165125,TRPV6
ENSG00000162949,CAPN13
ENSG00000151224,MAT1A
ENSG00000236699,ARHGEF38
ENSG00000133048,CHI3L1
ENSG00000163347,CLDN1
ENSG00000187054,TMPRSS11A
ENSG00000184811,TRARG1
ENSG00000164690,SHH
ENSG00000157399,ARSL
ENSG00000135638,EMX1
ENSG00000104537,ANXA13
ENSG00000196353,CPNE4
ENSG00000105289,TJP3
ENSG00000158014,SLC30A2
ENSG00000183888,SRARP
ENSG00000168447,SCNN1B
ENSG00000118513,MYB
ENSG00000153294,ADGRF4
ENSG00000100253,MIOX
ENSG00000160183,TMPRSS3
ENSG00000143167,GPA33
ENSG00000139219,COL2A1
ENSG00000085552,IGSF9
ENSG00000124194,GDAP1L1
ENSG00000133710,SPINK5
ENSG00000105409,ATP1A3
ENSG00000132639,SNAP25
ENSG00000011677,GABRA3
ENSG00000156284,CLDN8
ENSG00000171587,DSCAM
ENSG00000112818,MEP1A
ENSG00000116690,PRG4
ENSG00000197177,ADGRA1
ENSG00000179593,ALOX15B
ENSG00000148123,PLPPR1
ENSG00000168509,HJV
ENSG00000203785,SPRR2E
ENSG00000105695,MAG
ENSG00000196090,PTPRT
ENSG00000172724,CCL19
ENSG00000110436,SLC1A2
ENSG00000189433,GJB4
ENSG00000237515,SHISA9
ENSG00000166206,GABRB3
ENSG00000162989,KCNJ3
ENSG00000122194,PLG
ENSG00000187398,LUZP2
ENSG00000137747,TMPRSS13
ENSG00000242534,IGKV2D-28
ENSG00000206073,SERPINB4
ENSG00000129596,CDO1
ENSG00000180178,FAR2P1
ENSG00000114771,AADAC
ENSG00000039068,CDH1
ENSG00000236756,DNAJC9-AS1
ENSG00000106258,CYP3A5
ENSG00000105852,PON3
ENSG00000156076,WIF1
ENSG00000184937,WT1
ENSG00000184434,LRRC19
ENSG00000187902,SHISA7
ENSG00000187045,TMPRSS6
ENSG00000185985,SLITRK2
ENSG00000167244,IGF2
ENSG00000154975,CA10
ENSG00000196104,SPOCK3
ENSG00000251381,LINC00958
ENSG00000084628,NKAIN1
ENSG00000100285,NEFH
ENSG00000181333,HEPHL1
ENSG00000182103,FAM181B
ENSG00000113494,PRLR
ENSG00000165023,DIRAS2
ENSG00000113946,CLDN16
ENSG00000163362,INAVA
ENSG00000172551,MUCL1
ENSG00000281344,HELLPAR
ENSG00000175820,LRTM3
ENSG00000198125,MB
ENSG00000105605,CACNG7
ENSG00000143171,RXRG
ENSG00000166183,ASPG
ENSG00000072182,ASIC4
ENSG00000172367,NHERF4
ENSG00000241158,ADAMTS9-AS1
ENSG00000107165,TYRP1
ENSG00000180432,CYP8B1
ENSG00000166869,CHP2
ENSG00000160282,FTCD
ENSG00000179178,TMEM125
ENSG00000110245,APOC3
ENSG00000234722,LINC01287
ENSG00000120903,CHRNA2
ENSG00000164089,ETNPPL
ENSG00000130283,GDF1
ENSG00000157005,SST
ENSG00000221867,MAGEA3
ENSG00000146038,DCDC2
ENSG00000168243,GNG4
ENSG00000074276,CDHR2
ENSG00000213886,UBD
ENSG00000198910,L1CAM
ENSG00000116882,HAO2
ENSG00000186910,SERPINA11
ENSG00000186493,IRX2-DT
ENSG00000066230,SLC9A3
ENSG00000145321,GC
ENSG00000124205,EDN3
ENSG00000121552,CSTA
ENSG00000125872,LRRN4
ENSG00000177807,KCNJ10
ENSG00000211956,IGHV4-34
ENSG00000113722,CDX1
ENSG00000055118,KCNH2
ENSG00000170439,TMT1B
ENSG00000164694,FNDC1
ENSG00000088002,SULT2B1
ENSG00000178445,GLDC
ENSG00000167281,RBFOX3
ENSG00000124092,CTCFL
ENSG00000164265,SCGB3A2
ENSG00000101203,COL20A1
ENSG00000100665,SERPINA4
ENSG00000149043,SYT8
ENSG00000132821,VSTM2L
ENSG00000275620,FLJ16779
ENSG00000170558,CDH2
ENSG00000105825,TFPI2
ENSG00000091138,SLC26A3
ENSG00000181541,MAB21L2
ENSG00000198807,PAX9
ENSG00000005421,PON1
ENSG00000133392,MYH11
ENSG00000105141,CASP14
ENSG00000211938,IGHV3-7
ENSG00000162670,BRINP3
ENSG00000224650,IGHV3-74
ENSG00000165556,CDX2
ENSG00000204099,NEU4
ENSG00000142319,SLC6A3
ENSG00000187773,DIPK1C
ENSG00000131668,BARX1
ENSG00000130234,ACE2
ENSG00000185306,C12orf56
ENSG00000106031,HOXA13
ENSG00000166391,MOGAT2
ENSG00000138109,CYP2C9
ENSG00000010282,HHATL
ENSG00000174502,SLC26A9
ENSG00000187122,SLIT1
ENSG00000152977,ZIC1
ENSG00000240694,PNMA2
ENSG00000115221,ITGB6
ENSG00000142623,PADI1
ENSG00000172818,OVOL1
ENSG00000130055,GDPD2
ENSG00000215182,MUC5AC
ENSG00000107984,DKK1
ENSG00000120068,HOXB8
ENSG00000258986,TMEM179
ENSG00000261701,HPR
ENSG00000154997,SEPTIN14
ENSG00000148795,CYP17A1
ENSG00000154269,ENPP3
ENSG00000203499,IQANK1
ENSG00000149021,SCGB1A1
ENSG00000167748,KLK1
ENSG00000265992,ESRG
ENSG00000204610,TRIM15
ENSG00000148600,CDHR1
ENSG00000241933,DENND6A-DT
ENSG00000155897,ADCY8
ENSG00000241294,IGKV2-24
ENSG00000259417,CTXND1
ENSG00000211689,TARP
ENSG00000175336,APOF
ENSG00000155816,FMN2
ENSG00000182870,GALNT9
ENSG00000108821,COL1A1
ENSG00000171004,HS6ST2
ENSG00000080166,DCT
ENSG00000077279,DCX
ENSG00000188175,HEPACAM2
ENSG00000244153,WWP1P1
ENSG00000171450,CDK5R2
ENSG00000168314,MOBP
ENSG00000205929,EPCIP
ENSG00000211950,IGHV1-24
ENSG00000135472,FAIM2
ENSG00000126562,WNK4
ENSG00000162951,LRRTM1
ENSG00000162365,CYP4A22
ENSG00000077522,ACTN2
ENSG00000167910,CYP7A1
ENSG00000257743,MGAM2
ENSG00000091831,ESR1
ENSG00000169302,STK32A
ENSG00000169347,GP2
ENSG00000213401,MAGEA12
ENSG00000233041,PHGR1
ENSG00000065609,SNAP91
ENSG00000172548,NIPAL4
ENSG00000110169,HPX
ENSG00000131482,G6PC1
ENSG00000188089,PLA2G4E
ENSG00000204936,CD177
ENSG00000171724,VAT1L
ENSG00000189166,TNRC18P3
ENSG00000136231,IGF2BP3
ENSG00000168309,FAM107A
ENSG00000106483,SFRP4
ENSG00000058404,CAMK2B
ENSG00000260802,SERTM2
ENSG00000070019,GUCY2C
ENSG00000169083,AR
ENSG00000197308,GATA3-AS1
ENSG00000163581,SLC2A2
ENSG00000142700,DMRTA2
ENSG00000205076,LGALS7
ENSG00000135220,UGT2A3
ENSG00000164855,TMEM184A
ENSG00000272763,LINC03057
ENSG00000103316,CRYM
ENSG00000144891,AGTR1
ENSG00000277150,F8A3
